"","x"
"395","SPGP_0Z00780"
"396","SPGP_0Z00870"
"397","SPGP_0Z01020"
"398","SPGP_0Z01530"
"399","SPGP_0Z02520"
"400","SPGP_0Z02790"
"401","SPGP_0Z02920"
"402","SPGP_0Z03020"
"403","SPGP_0AA00790"
"404","SPGP_0AA00870"
"405","SPGP_0AA00890"
"406","SPGP_0AA00910"
"407","SPGP_0AA01020"
"408","SPGP_0AC00190"
"409","SPGP_0AC01130"
"410","SPGP_0B00570"
"411","SPGP_0B00830"
"412","SPGP_0B00930"
"413","SPGP_0B01050"
"414","SPGP_0B01160"
"415","SPGP_0B01240"
"416","SPGP_0B01320"
"417","SPGP_0B01710"
"418","SPGP_0B01870"
"419","SPGP_0B01910"
"420","SPGP_0AE00470"
"421","SPGP_0AE00750"
"422","SPGP_0AE00810"
"423","SPGP_0AE00880"
"424","SPGP_0AE01140"
"425","SPGP_0AE01210"
"426","SPGP_0AE01310"
"427","SPGP_0AF00420"
"428","SPGP_0AF00450"
"429","SPGP_0AF00500"
"430","SPGP_0AH00300"
"431","SPGP_0AH00340"
"432","SPGP_0AH00660"
"433","SPGP_0AH01090"
"434","SPGP_0AI00140"
"435","SPGP_0AI00320"
"436","SPGP_0C00190"
"437","SPGP_0C00270"
"438","SPGP_0C00990"
"439","SPGP_0C01050"
"440","SPGP_0C01090"
"441","SPGP_0C01190"
"442","SPGP_0C01920"
"443","SPGP_0C02040"
"444","SPGP_0C02080"
"445","SPGP_0C02320"
"446","SPGP_0C02510"
"447","SPGP_0C02560"
"448","SPGP_0C02850"
"449","SPGP_0C02880"
"450","SPGP_0C03830"
"451","SPGP_0C03850"
"452","SPGP_0C03880"
"453","SPGP_0C03890"
"454","SPGP_0C03940"
"455","SPGP_0C04120"
"456","SPGP_0C04350"
"457","SPGP_0C04660"
"458","SPGP_0C04670"
"459","SPGP_0C04960"
"460","SPGP_0C05010"
"461","SPGP_0AP00120"
"462","SPGP_0AT00110"
"463","SPGP_0D00180"
"464","SPGP_0D00420"
"465","SPGP_0D00630"
"466","SPGP_0D00720"
"467","SPGP_0D00740"
"468","SPGP_0BF00140"
"469","SPGP_0BF00420"
"470","SPGP_0E00270"
"471","SPGP_0E00580"
"472","SPGP_0E00750"
"473","SPGP_0E00850"
"474","SPGP_0E01200"
"475","SPGP_0E01240"
"476","SPGP_0E01350"
"477","SPGP_0E01360"
"478","SPGP_0E01410"
"479","SPGP_0E01430"
"480","SPGP_0E01470"
"481","SPGP_0E01800"
"482","SPGP_0E01830"
"483","SPGP_0E01850"
"484","SPGP_0E01930"
"485","SPGP_0E02390"
"486","SPGP_0E02500"
"487","SPGP_0F00100"
"488","SPGP_0F00430"
"489","SPGP_0F00440"
"490","SPGP_0F00460"
"491","SPGP_0F00500"
"492","SPGP_0F00540"
"493","SPGP_0F00670"
"494","SPGP_0F00700"
"495","SPGP_0F00760"
"496","SPGP_0F00810"
"497","SPGP_0F01030"
"498","SPGP_0F01350"
"499","SPGP_0F01360"
"500","SPGP_0F01420"
"501","SPGP_0F01580"
"502","SPGP_0F01950"
"503","SPGP_0F01990"
"504","SPGP_0F02080"
"505","SPGP_0F02140"
"506","SPGP_0F02180"
"507","SPGP_0F02360"
"508","SPGP_0F02520"
"509","SPGP_0F02560"
"510","SPGP_0F02570"
"511","SPGP_0F02990"
"512","SPGP_0F03140"
"513","SPGP_0F03200"
"514","SPGP_0F03370"
"515","SPGP_0F03630"
"516","SPGP_0F03670"
"517","SPGP_0F04040"
"518","SPGP_0F04270"
"519","SPGP_0F04290"
"520","SPGP_0F04370"
"521","SPGP_0F04380"
"522","SPGP_0F04810"
"523","SPGP_0F04910"
"524","SPGP_0F04970"
"525","SPGP_0G00410"
"526","SPGP_0G00680"
"527","SPGP_0G00710"
"528","SPGP_0G00810"
"529","SPGP_0G00830"
"530","SPGP_0G00880"
"531","SPGP_0G01120"
"532","SPGP_0G01280"
"533","SPGP_0G01300"
"534","SPGP_0G01520"
"535","SPGP_0G01960"
"536","SPGP_0G01970"
"537","SPGP_0G01980"
"538","SPGP_0G02000"
"539","SPGP_0G02190"
"540","SPGP_0G02210"
"541","SPGP_0G02400"
"542","SPGP_0G02650"
"543","SPGP_0G02730"
"544","SPGP_0G02750"
"545","SPGP_0G02970"
"546","SPGP_0G02980"
"547","SPGP_0G03170"
"548","SPGP_0G03220"
"549","SPGP_0G03280"
"550","SPGP_0H00130"
"551","SPGP_0H00880"
"552","SPGP_0I00990"
"553","SPGP_0I01170"
"554","SPGP_0I01310"
"555","SPGP_0I01390"
"556","SPGP_0I01410"
"557","SPGP_0I01420"
"558","SPGP_0I01470"
"559","SPGP_0I01610"
"560","SPGP_0I01720"
"561","SPGP_0I01860"
"562","SPGP_0I01910"
"563","SPGP_0I01990"
"564","SPGP_0I02200"
"565","SPGP_0I02250"
"566","SPGP_0I02420"
"567","SPGP_0I02440"
"568","SPGP_0I02670"
